# id	type	entity
bo1	book	http://dbpedia.org/resource/Harry_Potter
bo2	book	http://dbpedia.org/resource/Twilight_(series)
bo3	book	http://dbpedia.org/resource/Bible
bo4	book	http://dbpedia.org/resource/Manga
bo5	book	http://dbpedia.org/resource/The_Lord_of_the_Rings
bo6	book	http://dbpedia.org/resource/Pride_and_Prejudice
bo7	book	http://dbpedia.org/resource/The_Catcher_in_the_Rye
bo8	book	http://dbpedia.org/resource/The_Da_Vinci_Code
bo9	book	http://dbpedia.org/resource/To_Kill_a_Mockingbird
bo10	book	http://dbpedia.org/resource/The_Hunger_Games
bo11	book	http://dbpedia.org/resource/Angels_&_Demons
bo12	book	http://dbpedia.org/resource/The_Hobbit
bo13	book_genre	http://dbpedia.org/resource/Fantasy
bo14	book	http://dbpedia.org/resource/Chosen_(A_House_of_Night_novel)
bo15	book	http://dbpedia.org/resource/Eragon
bo16	book	http://dbpedia.org/resource/The_Great_Gatsby
bo17	book	http://dbpedia.org/resource/The_Watchmen_(novel)
bo18	book	http://dbpedia.org/resource/The_Alchemist_(novel)
bo19	book	http://dbpedia.org/resource/Percy_Jackson_&_the_Olympians
bo20	book	http://dbpedia.org/resource/The_Secret_(book)
bo21	book	http://dbpedia.org/resource/I_Am_Legend_(novel)
bo22	book	http://dbpedia.org/resource/The_Chronicles_of_Narnia
bo23	book	http://dbpedia.org/resource/The_Lovely_Bones
bo24	book	http://dbpedia.org/resource/The_Outsiders_(novel)
bo25	book	http://dbpedia.org/resource/The_Giver
bo26	book_writer	http://dbpedia.org/resource/Dave_Pelzer
bo27	book	http://dbpedia.org/resource/I_Hope_They_Serve_Beer_in_Hell
bo28	book	http://dbpedia.org/resource/The_Hitchhiker's_Guide_to_the_Galaxy_(novel)
bo29	book	http://dbpedia.org/resource/The_Kite_Runner
bo30	book	http://dbpedia.org/resource/Jane_Eyre
bo31	book	http://dbpedia.org/resource/The_Perks_of_Being_a_Wallflower
bo32	book	http://dbpedia.org/resource/The_Notebook_(novel)
bo33	book	http://dbpedia.org/resource/Brave_New_World
bo34	book	http://dbpedia.org/resource/Animal_Farm
bo35	book	http://dbpedia.org/resource/Wuthering_Heights
bo36	book	http://dbpedia.org/resource/Crank_(novel)
bo37	book	http://dbpedia.org/resource/Of_Mice_and_Men
bo38	book	http://dbpedia.org/resource/Lord_of_the_Flies
bo39	book	http://dbpedia.org/resource/Ender's_Game
bo40	book	http://dbpedia.org/resource/Maximum_Ride
bo41	book	http://dbpedia.org/resource/Memoirs_of_a_Geisha
bo42	book	http://dbpedia.org/resource/The_Host_(novel)
bo43	book	http://dbpedia.org/resource/Vampire_Academy_(novel)
bo44	book_genre	http://dbpedia.org/resource/Comics
bo45	book	http://dbpedia.org/resource/Romeo_and_Juliet
bo46	book	http://dbpedia.org/resource/Go_Ask_Alice
bo47	book	http://dbpedia.org/resource/Tuesdays_with_Morrie
bo48	book_genre	http://dbpedia.org/resource/Science_fiction
bo49	book	http://dbpedia.org/resource/Sun_Bin's_Art_of_War
bo50	book	http://dbpedia.org/resource/Eldest
bo51	book	http://dbpedia.org/resource/Nineteen_Eighty-Four
bo52	book	http://dbpedia.org/resource/The_Zombie_Survival_Guide
bo53	book	http://dbpedia.org/resource/Artemis_Fowl_(novel)
bo54	book	http://dbpedia.org/resource/My_Sister's_Keeper_(novel)
bo55	book_writer	http://dbpedia.org/resource/Stuff_White_People_Like
bo56	book	http://dbpedia.org/resource/Gone_with_the_Wind
bo57	book	http://dbpedia.org/resource/Inheritance_(novel)
bo58	book	http://dbpedia.org/resource/The_Last_Song_(novel)
bo59	book	http://dbpedia.org/resource/A_Series_of_Unfortunate_Events
bo60	book	http://dbpedia.org/resource/The_Hamlet
bo61	book	http://dbpedia.org/resource/Cecilia_(McClure_novel)
bo63	book	http://dbpedia.org/resource/Dracula
bo64	book	http://dbpedia.org/resource/Book_of_Mormon
bo65	book	http://dbpedia.org/resource/Eat,_Pray,_Love
bo66	book	http://dbpedia.org/resource/Catching_Fire
bo67	book	http://dbpedia.org/resource/The_Picture_of_Dorian_Gray
bo68	book	http://dbpedia.org/resource/The_Chronicles_of_Narnia:_Prince_Caspian
bo69	book	http://dbpedia.org/resource/The_Little_Prince
bo70	book	http://dbpedia.org/resource/Goosebumps
bo71	book_genre	http://dbpedia.org/resource/Comic_novel
bo72	book	http://dbpedia.org/resource/The_Count_of_Monte_Cristo
bo73	book_genre	http://dbpedia.org/resource/Thriller_(genre)
bo74	book	http://dbpedia.org/resource/The_Coldest_Winter_Ever
bo75	book_genre	http://dbpedia.org/resource/Fiction
bo76	book	http://dbpedia.org/resource/The_Five_People_You_Meet_in_Heaven
bo77	book	http://dbpedia.org/resource/Alice's_Adventures_in_Wonderland
bo78	book	http://dbpedia.org/resource/Atlas_Shrugged
bo79	book	http://dbpedia.org/resource/A_Memory_of_Light
bo81	book	http://dbpedia.org/resource/Crime_and_Punishment
bo82	book	http://dbpedia.org/resource/The_Shack
bo83	book	http://dbpedia.org/resource/Teaching_with_Calvin_and_Hobbes
bo84	book	http://dbpedia.org/resource/Dune_(novel)
bo85	book	http://dbpedia.org/resource/Night_(book)
bo86	book	http://dbpedia.org/resource/The_Adventures_of_Sherlock_Holmes
bo87	book	http://dbpedia.org/resource/Wicked:_The_Life_and_Times_of_the_Wicked_Witch_of_the_West
bo88	book	http://dbpedia.org/resource/Uglies
bo89	book	http://dbpedia.org/resource/His_Dark_Materials
bo90	book	http://dbpedia.org/resource/A_Thousand_Splendid_Suns
bo91	book	http://dbpedia.org/resource/The_Time_Traveler's_Wife
bo92	book	http://dbpedia.org/resource/Speak_(novel)
bo93	book	http://dbpedia.org/resource/Glass_(novel)
bo94	book	http://dbpedia.org/resource/The_Purpose_Driven_Life
bo95	book_genre	http://dbpedia.org/resource/Biographical_novel
bo96	book	http://dbpedia.org/resource/Gossip_Girl_(novel_series)
bo97	book	http://dbpedia.org/resource/Fahrenheit_451
bo98	book	http://dbpedia.org/resource/The_Fountainhead
bo99	book	http://dbpedia.org/resource/Impulse_economy
bo100	book	http://dbpedia.org/resource/Catch-22
bo101	book	http://dbpedia.org/resource/City_of_Ashes
bo102	book	http://dbpedia.org/resource/Frankenstein
bo103	book	http://dbpedia.org/resource/Five_Point_Someone
bo104	book	http://dbpedia.org/resource/The_Dark_Tower:_The_Gunslinger
bo105	book	http://dbpedia.org/resource/The_Lost_Symbol
bo106	book	http://dbpedia.org/resource/Dear_John_(novel)
bo107	book	http://dbpedia.org/resource/The_Girl_with_the_Dragon_Tattoo
bo108	book	http://dbpedia.org/resource/Fear_and_Loathing_in_Las_Vegas
bo109	book	http://dbpedia.org/resource/Inkheart
bo110	book	http://dbpedia.org/resource/The_God_Delusion
bo111	book	http://dbpedia.org/resource/Les_Misérables
bo112	book	http://dbpedia.org/resource/Cirque_du_Freak
bo113	book	http://dbpedia.org/resource/Mockingjay
bo114	book	http://dbpedia.org/resource/Diary_of_a_Wimpy_Kid_(series)
bo115	book	http://dbpedia.org/resource/The_Book_Thief
bo116	book_character	http://dbpedia.org/resource/Naruto_Uzumaki
bo117	book	http://dbpedia.org/resource/List_of_Scott_Pilgrim_characters
bo118	book	http://dbpedia.org/resource/Fallen_(Kate_novel)
bo119	book	http://dbpedia.org/resource/Choke_(novel)
bo120	book	http://dbpedia.org/resource/Where_the_Red_Fern_Grows
bo121	book	http://dbpedia.org/resource/Brisingr
bo122	book	http://dbpedia.org/resource/PS,_I_Love_You_(novel)
bo123	book	http://dbpedia.org/resource/The_Bell_Jar
bo124	book	http://dbpedia.org/resource/The_Giving_Tree
bo125	book	http://dbpedia.org/resource/Sense_and_Sensibility
bo126	book	http://dbpedia.org/resource/Macbeth
bo127	book	http://dbpedia.org/resource/One_Flew_Over_the_Cuckoo's_Nest_(novel)
bo128	book	http://dbpedia.org/resource/Lolita
bo129	book	http://dbpedia.org/resource/Slaughterhouse-Five
bo130	book	http://dbpedia.org/resource/A_Million_Little_Pieces
bo131	book_genre	http://dbpedia.org/resource/Mystery_fiction
bo132	book	http://dbpedia.org/resource/Pretty_Little_Liars_(book)
bo133	book	http://dbpedia.org/resource/Interview_with_the_Vampire
bo134	book	http://dbpedia.org/resource/Little_Women
bo135	book	http://dbpedia.org/resource/World_War_Z
bo136	book_writer	http://dbpedia.org/resource/Nora_Roberts
bo137	book	http://dbpedia.org/resource/Great_Expectations
bo138	book	http://dbpedia.org/resource/Life_of_Pi
bo139	book	http://dbpedia.org/resource/The_Stand
bo140	book	http://dbpedia.org/resource/The_Road
bo141	book_character	http://dbpedia.org/resource/Tyson_(Percy_Jackson)
bo142	book	http://dbpedia.org/resource/Rich_Dad_Poor_Dad
bo143	book	http://dbpedia.org/resource/Quran
bo144	book	http://dbpedia.org/resource/Siddhartha_(novel)
bo145	book	http://dbpedia.org/resource/The_Godfather_(novel)
bo146	book	http://dbpedia.org/resource/Odyssey
bo147	book	http://dbpedia.org/resource/Where_the_Wild_Things_Are
bo148	book	http://dbpedia.org/resource/Inferno_(Dante)
bo149	book	http://dbpedia.org/resource/Burned_(Hopkins_novel)
bo150	book	http://dbpedia.org/resource/Studies_of_the_Book_of_Mormon
bo151	book	http://dbpedia.org/resource/Looking_for_Alaska
bo152	book	http://dbpedia.org/resource/Holes_(novel)
bo153	book	http://dbpedia.org/resource/The_Sword_of_Truth
bo154	book	http://dbpedia.org/resource/The_Scarlet_Letter
bo155	book	http://dbpedia.org/resource/The_Lost_Boy_(memoir)
bo156	book	http://dbpedia.org/resource/The_Vampire_Chronicles
bo157	book	http://dbpedia.org/resource/Love_Story_(novel)
bo158	book_genre	http://dbpedia.org/resource/Adventure_fiction
bo159	book	http://dbpedia.org/resource/A_Clockwork_Orange
bo160	book	http://dbpedia.org/resource/A_Tale_of_Two_Cities
bo161	book_genre	http://dbpedia.org/resource/Romance_novel
