# id	type	entity
mu1	music_artist	http://dbpedia.org/resource/Eminem
mu2	music_artist	http://dbpedia.org/resource/Lady_Gaga
mu3	music_band	http://dbpedia.org/resource/Linkin_Park
mu4	music_artist	http://dbpedia.org/resource/Michael_Jackson
mu5	music_artist	http://dbpedia.org/resource/Bob_Marley
mu6	music_artist	http://dbpedia.org/resource/The_Beatles
mu7	music_artist	http://dbpedia.org/resource/Katy_Perry
mu8	music_band	http://dbpedia.org/resource/Paramore
mu9	music_artist	http://dbpedia.org/resource/Lil_Wayne
mu10	music_artist	http://dbpedia.org/resource/Rihanna
mu11	music_artist	http://dbpedia.org/resource/Taylor_Swift
mu12	music_band	http://dbpedia.org/resource/Metallica
mu13	music_band	http://dbpedia.org/resource/Pink_Floyd
mu14	music_artist	http://dbpedia.org/resource/Drake_(rapper)
mu15	music_band	http://dbpedia.org/resource/Green_Day
mu16	music_artist	http://dbpedia.org/resource/Usher_(entertainer)
mu17	music_artist	http://dbpedia.org/resource/Beyoncé
mu18	music_band	http://dbpedia.org/resource/Coldplay
mu19	music_artist	http://dbpedia.org/resource/Shakira
mu20	music_band	http://dbpedia.org/resource/Red_Hot_Chili_Peppers
mu21	music_band	http://dbpedia.org/resource/System_of_a_Down
mu22	music_artist	http://dbpedia.org/resource/Owl_City
mu23	music_artist	http://dbpedia.org/resource/Avril_Lavigne
mu24	music_artist	http://dbpedia.org/resource/Queen_(band)
mu25	music_band	http://dbpedia.org/resource/AC/DC
mu26	music_band	http://dbpedia.org/resource/Nirvana_(band)
mu27	music_artist	http://dbpedia.org/resource/Kesha
mu28	music_artist	http://dbpedia.org/resource/Alicia_Keys
mu29	music_genre	http://dbpedia.org/resource/Rock_music
mu30	music_band	http://dbpedia.org/resource/Kings_of_Leon
mu31	music_band	http://dbpedia.org/resource/Disturbed_(band)
mu32	music_band	http://dbpedia.org/resource/Nickelback
mu33	music_artist	http://dbpedia.org/resource/T.I.
mu34	music_band	http://dbpedia.org/resource/Muse_(band)
mu35	music_artist	http://dbpedia.org/resource/Trey_Songz
mu36	music_artist	http://dbpedia.org/resource/Akon
mu37	music_band	http://dbpedia.org/resource/Evanescence
mu38	music_artist	http://dbpedia.org/resource/The_Black_Eyed_Peas
mu39	music_band	http://dbpedia.org/resource/Slipknot_(band)
mu40	music_band	http://dbpedia.org/resource/Avenged_Sevenfold
mu41	music_artist	http://dbpedia.org/resource/Johnny_Cash
mu42	music_band	http://dbpedia.org/resource/Korn
mu43	music_artist	http://dbpedia.org/resource/Justin_Bieber
mu44	music_artist	http://dbpedia.org/resource/Jason_Mraz
mu45	music_band	http://dbpedia.org/resource/Guns_N'_Roses
mu46	music_band	http://dbpedia.org/resource/Three_Days_Grace
mu47	music_band	http://dbpedia.org/resource/My_Chemical_Romance
mu48	music_band	http://dbpedia.org/resource/3OH!3
mu49	music_genre	http://dbpedia.org/resource/Country_music
mu50	music_artist	http://dbpedia.org/resource/Enrique_Iglesias
mu51	music_artist	http://dbpedia.org/resource/Kid_Cudi
mu52	music_artist	http://dbpedia.org/resource/Bon_Jovi
mu53	music_genre	http://dbpedia.org/resource/Punk_rock
mu54	music_band	http://dbpedia.org/resource/The_Doors
mu55	music_artist	http://dbpedia.org/resource/Chris_Brown
mu56	music_artist	http://dbpedia.org/resource/Bullet_for_My_Valentine
mu57	music_band	http://dbpedia.org/resource/Breaking_Benjamin
mu58	music_composition	http://dbpedia.org/resource/Sublime_(song)
mu59	music_genre	http://dbpedia.org/resource/Hip_hop_music
mu60	music_artist	http://dbpedia.org/resource/Jay-Z
mu61	music_album	http://dbpedia.org/resource/30_Seconds_to_Mars_(album)
mu62	music_band	http://dbpedia.org/resource/Fall_Out_Boy
mu63	music_artist	http://dbpedia.org/resource/Radiohead
mu64	music_band	http://dbpedia.org/resource/The_Killers
mu65	music_artist	http://dbpedia.org/resource/Lady_Antebellum
mu66	music_band	http://dbpedia.org/resource/Foo_Fighters
mu67	music_artist	http://dbpedia.org/resource/Kanye_West
mu68	music_artist	http://dbpedia.org/resource/Bruno_Mars
mu69	music_artist	http://dbpedia.org/resource/Miley_Cyrus
mu70	music_band	http://dbpedia.org/resource/Daft_Punk
mu71	music_artist	http://dbpedia.org/resource/David_Guetta
mu72	music_artist	http://dbpedia.org/resource/Justin_Timberlake
mu73	music_artist	http://dbpedia.org/resource/Carrie_Underwood
mu74	music_band	http://dbpedia.org/resource/Maroon_5
mu75	music_artist	http://dbpedia.org/resource/Britney_Spears
mu76	music_artist	http://dbpedia.org/resource/50_Cent
mu77	music_band	http://dbpedia.org/resource/Blink-182
mu78	music_artist	http://dbpedia.org/resource/John_Mayer
mu79	music_genre	http://dbpedia.org/resource/Pop_rock
